sentence1,sentence2,similarity_score
Two girls are in pajama pants and appear to be dancing.,Two girls with baseball caps are eating a snack outside.,0.6000000238418579
A bay foal is walking next to its mother in a grassy field.,Close-up of young horse walking next to a larger horse.,2.5999999046325684
A man is singing.,A man is dancing.,0.5
"Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said that scenario is one among many that investigators are considering.","Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said investigators are considering the scenario.",4.25
"As a result, Murphy sought to substitute Strier's sister, Ethel Celnik, as the trustee.","Murphy said Strier's sister, Ethel Celnik, was in the courtroom at the time, but Strier was not.",1.75
"if you don't want to derail the meeting, but the key is to speak up.",The key thing you need to do in this meeting is listen.,1.0
A woman is stirring rice in a pot.,Someone is putting rice in a pan.,2.7690000534057617
A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night.,A spokesman at Strong Memorial Hospital said Doud was under evaluation Tuesday evening in the emergency room.,3.0
"It depends on what you want to do next, and where you want to do it.","They can, but the way to do it depends on what you have available.",1.0
Books To Help Kids Talk About Boston Marathon News,Report of two explosions at finish line of Boston Marathon,0.800000011920929
"Syria regime claims evacuation of 5,000 near Damascus",Syria army continues mop-up operations near Damascus,1.600000023841858
China yuan weakens to 6.3282 against USD Monday,China's yuan weakens against USD for third day,3.200000047683716
Shares of Guidant plummeted in trading both on and off the New York Stock Exchange before a news halt was imposed after midday.,Shares of Guidant were down 5.3 percent at $40.92 in afternoon trading on the New York Stock Exchange.,2.6470000743865967
A woman is cutting a cucumber.,A man is playing a guitar.,0.0
A young boy is standing on a gray tiled area.,A young boy is practicing his karate in a gym.,1.0
"In morning trading, the Dow Jones industrial average was up 40.12, or 0.5 percent, at 8,571.69, having fallen 51 points Monday.","In New York, the Dow Jones industrial average a gauge of 30 blue chip stocks was up 3.29 points or 0.04 per cent to 8,585.97.",1.75
China manufacturing index at 11-month low: HSBC,China manufacturing expands in September,1.0
Gunmen kill 10 in Philippine political violence,Five killed in Philippines volcano eruption,0.6000000238418579
NATO Soldier Killed In Afghan Attack,NATO soldier killed in S. Afghanistan,3.799999952316284
US Senate to meet as path out of fiscal impasse still elusive,US Senate has Rare Sunday Session Days Amid Fiscal Impasse,3.5999999046325684
"The camp hosts summer religious retreats for children and other events year-round, according to its Web site.","The Saint Sophia Camp hosts religious retreats for children during the summer months as well as other events year round, according to its Web site.",3.400000095367432
Japanese politician apologizes for sex comment,"Japan mayor apologizes to U.S., denies wrong words on ""comfort women""",3.0
"The injured passenger at John Peter Smith Hospital died later Friday morning, Jones said.","The injured passenger at John Peter Smith died later in the morning; his name has not been released, Jones said.",3.642999887466431
The girl flew her kite while she ran up a hill.,A girl loses her kite.,2.25
Car bomb kills 20 in northwest Syria,Car bomb in northern Syria kills 20,4.599999904632568
A girl in a black desktop holds up an open box of Corn Flakes and a carton of milk.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,0.0
Thai opposition protesters begin Bangkok shutdown,Thai protesters launch Bangkok 'shutdown',4.800000190734863
"He is suspected of being a key figure in Jemaah Islamiyah, the al-Qa'eda-linked terror group which has been blamed for the bombings.","Samudra, 32, is suspected of being a key figure in the al-Qaida-linked terror group Jemaah Islamiyah, which has been blamed for carrying out the bombings.",3.400000095367432
a snowboarder jumps into the air.,A snowboarder flies through the air.,4.0
UN report says both sides in Syria abuse rights,NATO leader plays down risk of Turkey-Syria clash,1.0
They said the child was taken to Nassau County Medical Center for observation.,"The boy was taken to Nassau University Medical Center, where staff said he was ""doing okay.""",3.400000095367432
The bailout was bigger than TARP Bloomberg news.,The bailout was bigger than TARP This title is misleading.,3.799999952316284
British Archbishop of Canterbury changes career to Cambridge,Archbishop of Canterbury to step down amid rifts,2.400000095367432
"Chinese, Russian FMs exchange opinions on Ukraine crisis",Chinese president arrives in Argentina for state visit,0.2000000029802322
A little bird floating in the water.,A duck floating in the water.,2.400000095367432
A man in red swim trunks playing volleyball.,A man and woman sitting on a motorcycle.,0.0
Mr Morse is charged with assault and Mr Darvish is charged with filing a false report.,His partner Bijan Darvish is charged with filing a false police report.,2.75
"Richard Miller remained hospitalized after undergoing a liver transplant, but his wife has recovered.","Richard Miller, 57, survived a lifesaving liver transplant but remains hospitalized.",3.200000047683716
"Zimmerman stopped for speeding in Texas, released with warning","Zimmerman pulled over in Texas for speeding, given warning",5.0
Knox County Health Department is following national Centers for Disease Control and Prevention Protocol to contain infection.,The health department spokesperson added the department is following Centers for Disease Control protocol.,3.0
The baby boy wants his mother.,A baby boy is happy to see his mother.,2.799999952316284
A cat is playing in a box.,The dog is playing with the floor cleaner.,1.399999976158142
Twelve killed in bomb blast on Pakistani train,Gunmen kill nine in southwest Pakistan: Police,2.0
A lion cub tries to climb a fence.,A lion tries to climb over a wall.,2.75
"Im very proud of the citizens of this state, said Gov. John Baldacci, a casino foe.","""I´m very proud of the citizens of this state,"" Gov. John Baldacci said after votes from Tuesday´s referendum were counted.",3.799999952316284
Two airplanes in the sky.,A plane in the sky.,2.400000095367432
"The blonde woman is wearing a black, american flag, tartan cap.",A red-haired woman is wearing a black beret adorned with the American flag.,2.799999952316284
UK police say no terrorism link to helicopter crash,China police seek eight suspects over crash,1.0
Rooney helps Man United beat Everton 3-0 in Premier League,West Ham beats Newcastle 2-0 in Premier League,1.0
France warns of extremists benefiting from Egypt violence,France fears extremists will benefit from Egypt violence,4.400000095367432
"Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.","His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia.",3.5999999046325684
A man is playing the guitar.,The man played his guitar with a friend.,3.200000047683716
A close-up of an animal with a long face standing on grass near a tree.,A close-up of a woman with black boots next to a blue motorcycle.,0.0
Three men are dancing.,Women are dancing.,1.2999999523162842
Yemen: Fighting in north kills over 120,Janet Yellen: Five things you might not know,0.0
Two people are in bed.,Two boxers are in the ring.,0.0
US lawmakers take next step on new Iran sanctions,Somalia lawmakers to vote for new president,0.2000000029802322
russia already participates in the european space agency's,france is a leader in the european space agency.,1.2000000476837158
a key european arms control treaty must be maintained.,the cfe treaty is a key european arms control treaty.,2.200000047683716
A woman and a dog standing in the grass.,A man carries a sign while standing in the rain.,0.0
"In English, certainly the most common use of do is Do-Support.","In traditional grammar, the word doing is a participle in all your examples.",0.6000000238418579
"""I felt that if I disagreed with Rosie too much I would lose my job,"" she said.","Cavender did say: ""I felt that if I disagreed with Rosie too much I would lose my job.""",3.25
Man standing on top of jagged rocks near the ocean.,A man is standing on top of rocks overlooking the ocean.,4.599999904632568
A buddha statue sits on a table with a wooden table runner.,A bird standing on top of a wooden fencepost.,0.4000000059604645
A skier wearing blue snow pants is flying through the air near a jump.,A skier stands on his hands in the snow in front of a movie camera.,1.399999976158142
What if they messed up a study?,What if they had a personal bias?,1.0
